Varför?	Why?
Vad?	What?
Ja.	Yes.
Hej.	Hello!
Välkommen!	Welcome.
Självklart.	Of course.
Förlåt.	I'm sorry.
Lyssna!	Listen!
Korrekt!	Correct!
Sluta!	Back off!
Stilla.	Be still.
Ducka.	Get down.
Bromsa.	Hit the brakes.
Hoppa!	Jump!
Spring!	Run!
Stanna!	Stop!
Vänta!	Wait!
Vem?	Who?
Stick!	Get lost!
Absolut!	Definitely!
Gomorron!	Good morning!
Godnatt!	Good night!
Skynda!	Hurry up.
Lysande!	Splendid!
Jaså!	Is that so?
Jaså?	Really?
Stackare!	You poor thing.
Ät!	Eat!
Var tolerant.	Be tolerant.
Var toleranta.	Be tolerant. (plural)
Tom ringde.	Tom rang.
Skällde hunden?	Did the dog bark?
Skratta inte!	Don't laugh!
Mjölken surnade.	The milk went sour.
Jag fastnade.	I got stuck.
Vilken skitstövel!	What an asshole!
Jack då?	What about Jack?
Tom kör.	Tom drives.
Vann du?	Did you win?
Vann ni?	Did you win?
Jag arbetade.	I was working.
Snälla sluta!	Please stop!
Hej allihopa!	Hello everyone!
Stäng fönstret.	Close the window.
Öppna fönstret.	Open the window.
Ingen kommentar.	No comment.
Prova det!	Try it on.
Ankan försvann.	The duck disappeared.
Glad påsk!	Happy Easter!
Hej då!	Good-bye!
Vintern kommer.	Winter is coming.
Kom in!	Come in!
Tom grät.	Tom was crying.
Du glöder.	You're glowing.
Vi sjunker.	We're sinking.
Följ reglerna.	Follow the rules.
Rökning förbjudet.	No smoking.
God morgon!	Good morning!
Vem slutade?	Who quit?
Stanna kvar.	Stay put.
Var beredd.	Stand by.
Sitt stilla.	Sit still. (plural)
Sitt still.	Sit still.
Titta bort.	Look away.
Stå still!	Stand still!
Stå stilla!	Stand still! (plural)
Tom lyckades.	Tom made it.
Tom lever.	Tom is alive.
Röstade Tom?	Did Tom vote?
Hämta hjälp.	Get help.
Jag träffades.	I got hit.
De stod.	They stood.
Ta skydd!	Take cover!
Sjung med.	Sing along.
Ta anteckningar.	Take notes.
De ringde.	They called.
Sluta försöka.	Stop trying.
Stanna inomhus.	Stay inside.
De hurrade.	They cheered.
Vad hemskt.	That's awful.
Funkar måndag?	Is Monday OK?
Fungerar måndag?	Is Monday OK?
Du överlevde.	You survived.
Ni överlevde.	You survived. (plural)
Någon saknas.	Someone's missing.
Någon fattas.	Someone's missing.
Någon svarade.	Somebody answered.
Vad patetiskt!	How pathetic!
Återvänd genast.	Return immediately.
Sedan då?	Then what?
Ingen brådska.	Take your time.
Kom fort!	Come quickly!
Jag dukar.	I'll set the table.
Vad konstigt.	That's weird.
Tvätta händerna.	Wash your hands.
Ingen svarade.	No one responded.
Gå långsammare.	Walk more slowly.
Skynda på.	Get a move on.
God kväll!	Good evening.
Det snöade.	It was snowing.
Mördaren avrättades.	The murderer was executed.
Stanna där.	Stay there.
Tänk positivt.	Stay positive.
Var positiv.	Stay positive.
Stanna här.	Stay here.
Stanna gärna.	Feel free to stay.
Fråga pappa!	Ask dad!
Drömmer katter?	Do cats dream?
Han äter.	He is eating.
Väckarklockan ringer.	The alarm clock is ringing.
Plikten kallar.	Duty calls.
Stackars du!	You poor thing.
Båda skrattar.	They're both laughing.
Ät allting.	Eat everything.
Ät långsamt.	Eat slowly.
Ät sakta.	Eat slowly.
Ingenting saknas.	Nothing is missing.
Huset brinner.	The house is on fire.
Städa rummet.	Clean the room.
Isen smälter.	The ice is melting.
God dag.	Good afternoon.
Godmorgon, Mike.	Good morning, Mike.
Vem läser?	Who is reading?
Ingen orsak.	Don't mention it.
Nästan tre.	Nearly three.
Jag diskar.	I'm washing the dishes.
Sen då?	Then what?
Frihet kostar.	One must pay for freedom.
Prata långsammare.	Speak more slowly.
Vatten, tack.	Some water, please.
Jag somnade.	I fell asleep.
Vem vinner?	Who's winning?
Glöm henne.	Forget about her.
Finns vi?	Do we exist?
Glöm det.	Forget it.
Rökning dödar.	Smoking kills.
Hinner du?	Can you make it?
Du då?	How about you?
Hej världen!	Hello, world!
Jag skämdes.	I was embarrassed.
Nunnorna sjunger.	The nuns are singing.
Skit samma.	Whatever.
Vi kysstes.	We kissed each other.
Hunden blöder.	The dog is bleeding.
Egentligen inte.	Not really.
Fåglar flyger.	Birds fly.
Lås dörren!	Lock the door!
Vem talar?	Who's speaking?
Koka riset!	Cook the rice.
Hej då.	See you later!
Inget saknas.	Nothing is missing.
Hon log.	She smiled.
Dagen gryr.	Day is breaking.
Håller isen?	Will the ice bear?
Mannen vaknar.	The man awakens.
Öppna munnen!	Open your mouth!
Vinden avtog.	The wind calmed down.
Jag lovar.	I give you my word.
Du ljuger!	You're lying!
Skicka saltet.	Pass me the salt.
De simmade.	They were swimming.
Vi försöker.	We try.
Radion dog.	The radio died.
Öppna munnen.	Open your mouth.
Sluta skjuta!	Stop shooting.
Röstade du?	Did you vote?
Han springer.	He is running.
Han sprang.	He ran.
Gå iväg.	Go away.
